scour_depth,depth_below_mudline,alpha_fem
0.5,8.910236692428576,0.9462363613376897
0.5,8.453301477432237,0.9604260754260878
0.5,7.996366262435899,1.0120221404229137
0.5,7.539431047439562,0.8966280339401799
0.5,7.082495832443224,1.007114993864859
0.5,6.625560617446885,0.8651281227945637
0.5,6.168625402450546,1.0134081341669074
0.5,5.711690187454208,0.9207395163208331
0.5,5.25475497245787,0.922792790891047
0.5,4.797819757461532,0.9794298037677018
0.5,4.340884542465194,0.9087472581424596
0.5,3.883949327468855,0.958343110706056
0.5,3.427014112472517,0.9504163899136688
0.5,2.9700788974761787,0.9972346285929974
0.5,2.5131436824798405,0.8470266926402781
0.5,2.0562084674835024,0.8779289683386088
0.5,1.5992732524871638,0.8051811473402526
0.5,1.1423380374908252,0.7175235345955326
0.5,0.6854028224944875,0.9099921995027616
0.5,0.2284676074981501,1.0759454537787088
0.0,8.897997307777391,1.0
0.0,8.441689753532398,1.0
0.0,7.985382199287401,1.0
0.0,7.529074645042406,1.0
0.0,7.07276709079741,1.0
0.0,6.616459536552415,1.0
0.0,6.160151982307419,1.0
0.0,5.703844428062424,1.0
0.0,5.247536873817428,1.0
0.0,4.791229319572433,1.0
0.0,4.334921765327437,1.0
0.0,3.878614211082442,1.0
0.0,3.4223066568374465,1.0
0.0,2.965999102592451,1.0
0.0,2.509691548347456,1.0
0.0,2.05338399410246,1.0
0.0,1.5970764398574646,1.0
0.0,1.1407688856124691,1.0
0.0,0.6844613313674737,1.0
0.0,0.2281537771224785,1.0
1.0,8.9112846136093,0.8733038784856629
1.0,8.454295659065231,0.8875749381566219
1.0,7.997306704521164,0.9070901983766912
1.0,7.540317749977096,0.841651420832036
1.0,7.083328795433029,0.8067212957266127
1.0,6.626339840888962,0.8708024541122774
1.0,6.169350886344894,0.8581644227405317
1.0,5.712361931800826,0.8688728317567538
1.0,5.255372977256759,0.8440138318515508
1.0,4.798384022712691,0.7972259504952554
1.0,4.341395068168623,0.8448447625054692
1.0,3.884406113624556,0.8593010576119552
1.0,3.4274171590804885,0.857451157767237
1.0,2.9704282045364208,0.8511299661462288
1.0,2.513439249992353,0.7229027473715681
1.0,2.0564502954482853,0.6359027370129618
1.0,1.5994613409042175,0.4400903799193148
1.0,1.1424723863601498,0.22642341440902553
1.0,0.6854834318160821,1.1195251561872595
1.0,0.2284944772720147,0.8472350381936937
2.0,8.961878967285141,0.7648195326488649
2.0,8.502295430501288,0.7859217918880167
2.0,8.042711893717435,0.8299728369069609
2.0,7.583128356933579,0.7357200685745
2.0,7.123544820149725,0.8077885780919077
2.0,6.66396128336587,0.7793936686012558
2.0,6.204377746582016,0.7695641619963299
2.0,5.744794209798162,0.7078043806419955
2.0,5.285210673014307,0.7110418590487019
2.0,4.825627136230453,0.7241806355779802
2.0,4.366043599446599,0.6217280128808133
2.0,3.906460062662744,0.7588610538623328
2.0,3.4468765258788894,0.6725352975223625
2.0,2.987292989095035,0.5989028684386029
2.0,2.5277094523111803,0.6045766754330352
2.0,2.0681259155273257,0.2731048234507804
2.0,1.6085423787434716,0.976870660967825
2.0,1.1489588419596175,0.8340677334232333
2.0,0.689375305175763,0.8453236018846844
2.0,0.2297917683919083,0.7653059703746309
2.5,8.944311952590924,0.8386628045016201
2.5,8.48562928835549,0.8331250552141947
2.5,8.026946624120058,0.896248165995788
2.5,7.568263959884625,0.7991590942412814
2.5,7.109581295649193,0.8584188112404738
2.5,6.650898631413758,0.772508080773506
2.5,6.192215967178326,0.8371360470468661
2.5,5.733533302942893,0.7665560912836092
2.5,5.274850638707459,0.7783593650528654
2.5,4.816167974472027,0.7812972683717556
2.5,4.357485310236594,0.7470454740161565
2.5,3.89880264600116,0.7520182096271721
2.5,3.4401199817657275,0.7108733676707668
2.5,2.9814373175302946,0.7486061776816979
2.5,2.5227546532948617,0.6266108964382466
2.5,2.064071989059429,0.6722875923421497
2.5,1.6053893248239954,
2.5,1.146706660588562,0.8288461769215507
2.5,0.6880239963531292,0.5539582853444299
2.5,0.229341332117697,
3.5,8.963779544830306,0.7058802051521259
3.5,8.504098542531313,0.6902972298625953
3.5,8.044417540232324,0.6986187449174499
3.5,7.584736537933332,0.5842558775041938
3.5,7.125055535634341,0.6738917725548348
3.5,6.66537453333535,0.576794712172275
3.5,6.205693531036359,0.6156619652654007
3.5,5.746012528737368,0.5796969580418885
3.5,5.286331526438377,0.5155294493978893
3.5,4.826650524139386,0.46730655354817874
3.5,4.366969521840395,0.43425447266933653
3.5,3.907288519541404,0.5148954757760515
3.5,3.447607517242413,
3.5,2.987926514943422,0.9211153065651129
3.5,2.528245512644431,0.8421997499605282
3.5,2.06856451034544,0.8629540298190085
3.5,1.608883508046449,
3.5,1.149202505747458,0.9271773982252692
3.5,0.689521503448467,0.5533392392498756
3.5,0.2298405011494763,
3.0,8.949473142623884,0.7382647175040785
3.0,8.490525801976503,0.7339590443305051
3.0,8.031578461329122,0.7505882770129947
3.0,7.572631120681743,0.6329422490419377
3.0,7.113683780034364,0.7175747957042796
3.0,6.654736439386984,0.6531333350975544
3.0,6.1957890987396045,0.6521942179300706
3.0,5.7368417580922255,0.5767678718198532
3.0,5.277894417444846,0.713143839754534
3.0,4.818947076797466,0.6730522005805987
3.0,4.359999736150087,0.4706513023279068
3.0,3.901052395502707,0.5616992053443521
3.0,3.442105054855328,0.3394197243518454
3.0,2.983157714207948,
3.0,2.5242103735605683,0.8371511534146737
3.0,2.065263032913189,0.8473671480222831
3.0,1.606315692265809,
3.0,1.1473683516184296,0.7440944539538755
3.0,0.6884210109710498,0.4742025664037678
3.0,0.2294736703236703,
4.0,8.980926895141586,0.6628728794910976
4.0,8.520366541544583,0.6660483177580229
4.0,8.059806187947576,0.6404381134748421
4.0,7.599245834350571,0.5872280609390164
4.0,7.138685480753565,0.6182872793333629
4.0,6.67812512715656,0.511861381683703
4.0,6.2175647735595545,0.5541686679257186
4.0,5.7570044199625485,0.5515303556434437
4.0,5.296444066365543,0.5622203276846496
4.0,4.835883712768538,0.595771895698551
4.0,4.375323359171532,0.45476922308711715
4.0,3.9147630055745273,
4.0,3.4542026519775217,0.9233442510403987
4.0,2.993642298380516,0.7805541898915684
4.0,2.5330819447835107,0.8692004564216564
4.0,2.072521591186505,
4.0,1.6119612375895,
4.0,1.151400883992495,1.1031108670694763
4.0,0.690840530395489,0.4789692444288562
4.0,0.2302801767984833,
