z_m,K_py_N_m,p_ult_N,K_tz_N_m,t_ult_N
0.01,10349363.12,1245172.04,6281406.24,3269927.13
0.5,15304049.78,1841307.66,15259962.37,7944092.88
1.0,16402472.78,1973464.69,17859069.7,9297148.78
1.5,17081202.33,2055126.15,19580101.41,10193091.39
2.0,17579734.16,2115107.08,20900864.55,10880660.23
2.5,17976423.9,2162834.86,21986377.99,11445761.65
3.0,18307178.76,2202629.67,22915026.92,11929201.82
3.5,18591571.41,2236846.41,23730723.85,12353840.92
4.0,18841492.08,2266915.64,24460745.79,12733878.94
4.5,19064724.92,2293773.92,25123289.23,13078788.7
5.0,19266653.7,2318069.01,25731146.55,13395229.72
5.5,19451162.37,2340268.19,26293680.36,13688076.02
6.0,19621148.04,2360720.03,26817965.22,13961010.51
6.5,19778831.22,2379691.7,27309487.33,14216889.22
7.0,19925952.58,2397392.62,27772593.61,14457975.1
7.5,20063902.76,2413990.11,28210791.37,14686093.99
8.0,20193810.96,2429620.03,28626954.63,14902742.06
8.5,20316607.01,2444394.24,29023470.31,15109161.9
9.0,20433066.01,2458406.02,29402344.05,15306397.63
