depth_m,k_ini_kN_per_m,p_ult_kN_per_m,spring_type
5.000000e-01,6.636533e+03,8.106028e+01,lateral
1.000000e+00,5.177774e+04,9.198237e+02,lateral
1.500000e+00,9.266796e+04,1.186037e+03,lateral
2.000000e+00,6.928655e+04,1.731475e+03,lateral
2.500000e+00,6.121716e+04,1.656098e+03,lateral
3.000000e+00,5.911727e+04,1.559642e+03,lateral
3.500000e+00,6.485473e+04,1.153571e+03,lateral
4.000000e+00,7.484546e+04,4.867116e+02,lateral
4.500000e+00,7.554598e+04,1.222006e+03,lateral
5.000000e+00,5.616860e+04,1.480975e+03,lateral
5.500000e+00,3.318267e+04,2.655298e+03,lateral
6.000000e+00,3.583728e+04,2.957247e+03,lateral
6.500000e+00,3.849189e+04,3.465159e+03,lateral
7.000000e+00,4.114651e+04,3.595645e+03,lateral
7.500000e+00,4.380112e+04,4.333026e+03,lateral
8.000000e+00,4.645573e+04,4.886673e+03,lateral
8.500000e+00,4.911035e+04,3.485336e+03,lateral
9.000000e+00,5.176496e+04,1.540955e+03,lateral
9.500000e+00,5.441957e+04,0.000000e+00,lateral
