scour_m,load_type,displacement_m,force_kN,stiffness_kN_m,stiffness_MN_m
0.0,V,0.02000201,12234.15932379436,611646.4957168985,611.6464957168985
0.5,V,0.02000932,12199.690164391506,609700.3878388423,609.7003878388424
1.0,V,0.01999596,12189.973537931328,609621.8205043082,609.6218205043082
2.0,V,0.01996022,11413.702609170012,571822.4853819252,571.8224853819253
2.5,V,0.02002814,11856.95290149199,592014.6804192496,592.0146804192495
3.0,V,0.02000974,11818.499126324867,590637.3159433788,590.6373159433789
3.5,V,0.02020617,12037.935174217884,595755.4140254132,595.7554140254132
4.0,V,0.02006565,11928.593941657891,594478.3219909592,594.4783219909592
0.0,H,0.02001291,5466.21689981947,273134.5366475675,273.13453664756753
0.5,H,0.01999973,4976.638579267867,248835.28823978457,248.83528823978457
1.0,H,0.02005186,4508.690660245823,224851.49309070694,224.85149309070692
2.0,H,0.02008559,3942.1072459209026,196265.44432704753,196.26544432704753
2.5,H,0.02003137,4255.578726758583,212445.71523358527,212.44571523358528
3.0,H,0.02032476,3620.347063199722,178124.96005855527,178.12496005855527
3.5,H,0.02032365,3671.776703754775,180665.2202608673,180.6652202608673
4.0,H,0.02017815,3789.26299954781,187790.4069276822,187.7904069276822
